Country,Year,Manufacturer,EV_Sales_(USD),Charging_Stations,EV_Market_Share(%),Total_Vehicles_Sold,EV_Type,GDP_per_Capita,Govt_Incentives
France,2021,Ford,"$4,265 ",2448,19.34,80542,BEV,23931,no
UK,2021,Volkswagen,"$24,080 ",2771,27.53,51071,BEV,55845,
USA,2018,BMW,"$39,056 ",,29.34,50617,BEV,17901,YES
france,2019,BYD,"$41,005 ",1351,17.11,56261,HEV,,yes
India,2021,Chevrolet,"$22,692 ",3285,3.15,83470,BEV,46833,yes
China,2023,Volkswagen,"$23,125 ",217,19.29,89428,BEV,77361,No
China,2018,Nissan,"$23,193 ",4127,5.17,121911,HEV,61710,YES
Norway,2022,Volkswagen,"$29,390 ",4774,27.84,52937,PHEV,,no
Netherlands,2016,Volkswagen,"$16,846 ",2610,3.67,82465,HEV,62842,YES
China,2022,BYD,"$29,767 ",3564,19.81,60876,PHEV,20233,Yes
Japan,2019,Renault,"$48,521 ",1752,17.35,61881,PHEV,46800,no
UK,2021,Ford,"$37,463 ",2565,1.06,78850,HEV,75816,no
USA,2024,Tesla,"$3,142 ",1187,14.02,66402,HEV,16438,no
China,2018,Kia,"$48,942 ",4767,28.23,51755,PHEV,56276,Yes
UK,2021,Nissan,"$41,743 ",2938,12.18,121597,PHEV,66618,no
Canada,2017,Renault,"$2,420 ",3501,,80292,BEV,3093,yes
France,2015,Nissan,"$13,405 ",185,20.28,96694,BEV,79513,
India,2022,Kia,"$20,374 ",1789,22.7,115948,HEV,61686,no
Germany,2018,Hyundai Inc,"$29,815 ",3686,15.87,120824,PHEV,69498,YES
Netherlands,2018,BYD,"$30,443 ",869,18.79,122619,HEV,76945,yes
Germany,2022,Hyundai,"$4,517 ",2269,6.92,15795,BEV,44764,No
Netherlands,2016,Tesla,"$1,634 ",2794,7.22,7673,BEV,22281,No
Netherlands,2015,Hyundai,,2260,14.31,,PHEV,28586,no
Canada,2021,Chevrolet,"$18,068 ",4436,18.25,53465,PHEV,59671,YES
UK,2019,Ford,"$26,749 ",1371,24.35,97655,BEV,6283,no
Netherlands,2023,BYD,"$8,110 ",2376,,24034,HEV,77162,No
china,2018,Renault,"$35,261 ",879,22.54,46364,BEV,34458,no
france,2023,BMW,"$25,569 ",499,13.4,70085,PHEV,30061,No
USA,2015,Tesla,"$24,670 ",304,8.8,69473,BEV,20296,No
France,2023,Kia,"$26,793 ",2606,,114457,BEV,19257,no
Norway,2023,Volkswagen,"$13,355 ",3268,14.18,34380,PHEV,5458,no
India,2023,Volkswagen,"$5,807 ",,25.18,56638,PHEV,44427,Yes
China,2024,Kia,"$28,773 ",1368,2.86,54190,BEV,11751,No
France,2023,Nissan,"$46,718 ",3779,1.64,136553,HEV,29927,No
Netherlands,2016,BYD,"$41,594 ",3654,14.62,134841,PHEV,74539,Yes
France,2021,BYD,"$32,207 ",3288,9.15,69049,PHEV,14261,no
Japan,2017,Volkswagen,,2991,20,,PHEV,57704,
Japan,2024,Ford,,1647,5.63,,HEV,6103,YES
Germany,2018,Hyundai,"$26,000 ",,3.04,62529,BEV,19452,No
China,2020,Chevrolet,"$49,893 ",2678,24.97,66847,HEV,13356,No
India,2021,BYD,"$33,463 ",2197,8.25,126934,HEV,22225,no
India,2020,Ford,"$4,106 ",286,22.53,31595,BEV,15387,Yes
Canada,2019,Ford,"$4,427 ",2601,24.47,53943,PHEV,63061,Yes
UK,2017,Hyundai,"$39,389 ",1210,15.66,125163,BEV,12087,yes
France,2022,Ford,"$31,316 ",1246,27.2,49729,PHEV,60500,Yes
China,2024,Kia,"$19,478 ",671,16.13,112898,HEV,33854,no
China,2016,Renault,"$11,204 ",2952,18.71,105626,BEV,,
USA,2022,BMW,"$2,200 ",3680,6.2,47789,BEV,33115,
China,2021,BMW,"$6,020 ",3328,,43475,PHEV,42605,Yes
Japan,2022,BYD,"$15,455 ",3099,9.61,95036,PHEV,65925,yes
France,2017,BYD,"$42,180 ",4743,5.81,115797,BEV,42458,
USA,2016,Tesla,"$24,001 ",4739,11.27,115227,PHEV,44939,No
China,2017,Hyundai,"$29,845 ",1746,7.14,123210,BEV,70166,Yes
Japan,2022,BMW,"$48,361 ",156,,96582,PHEV,45942,yes
France,2016,BYD,"$3,953 ",,28.84,48323,PHEV,9328,Yes
Canada,2023,Hyundai,"$16,034 ",3370,13.44,66204,PHEV,9640,yes
Netherlands,2023,Nissan,"$35,216 ",955,10.5,92269,PHEV,2920,Yes
China,2018,Tesla,"$44,437 ",,1.64,111211,PHEV,33972,YES
Germany,2021,Chevrolet,"$11,299 ",,18.56,82762,PHEV,77700,no
Germany,2024,BMW,"$37,658 ",2697,29.43,110354,HEV,,Yes
USA,2024,BMW,"$16,310 ",826,28.59,17502,BEV,37413,no
India,2022,Nissan,"$13,316 ",260,14.75,54458,BEV,37468,Yes
Netherlands,2022,BMW,"$31,198 ",2473,,80095,HEV,31075,No
UK,2020,Tesla,"$9,859 ",3903,21.98,62690,BEV,60191,
USA,2022,Nissan,"$33,772 ",1631,25.46,111046,PHEV,26963,YES
China,2016,BMW,"$44,454 ",3826,16.42,57130,HEV,5434,yes
Norway,2019,Hyundai,"$38,325 ",4018,26.59,44319,HEV,5234,YES
UK,2018,Volkswagen,"$4,264 ",2999,12.25,47479,PHEV,24185,Yes
China,2019,Chevrolet,"$43,942 ",393,6.9,122477,PHEV,3581,yes
India,2019,Nissan,"$3,263 ",2808,16.71,80330,BEV,26307,YES
India,2016,Tesla,"$31,335 ",2882,29.47,69280,PHEV,48937,YES
India,2016,BMW,"$6,976 ",2614,29.69,57659,BEV,46276,Yes
USA,2015,BMW,"$33,902 ",1779,10.31,114600,BEV,74933,No
Germany,2018,Kia,"$22,835 ",4145,,103765,HEV,28197,no
China,2019,BMW,"$22,510 ",2900,20.05,31536,HEV,65925,No
France,2019,BMW,"$3,806 ",907,20.19,52470,BEV,49008,no
Norway,2023,Hyundai,"$15,183 ",680,24.33,71795,PHEV,45535,Yes
Germany,2024,BMW,"$13,506 ",1965,23.23,31139,BEV,35660,Yes
UK,2015,Renault,"$3,939 ",,,37111,HEV,60197,yes
Netherlands,2022,Hyundai,"$36,122 ",1513,16.02,57298,BEV,45386,YES
Japan,2017,Nissan,"$24,755 ",53,22.53,112353,HEV,36931,no
China,2015,Volkswagen,"$36,210 ",229,12.33,114451,HEV,77502,
China,2019,Kia,"$17,874 ",2956,13.56,64787,PHEV,67025,no
UK,2017,Tesla,"$45,016 ",1503,22.99,130827,BEV,60049,No
China,2024,Renault,"$36,784 ",3350,21.67,89511,PHEV,61935,no
China,2024,Kia,"$17,499 ",,10.1,83050,BEV,41172,yes
Japan,2019,Tesla,"$34,222 ",2443,13.32,42081,BEV,42609,no
Germany,2020,Ford,"$43,807 ",4500,6.45,72023,PHEV,53953,no
Japan,2021,Renault,"$19,445 ",3259,12.1,25331,HEV,8485,No
Netherlands,2020,Ford,"$31,955 ",,,49722,HEV,29453,Yes
Norway,2018,Nissan,"$11,244 ",4344,19.47,24470,BEV,23588,Yes
USA,2016,Renault,"$13,940 ",4261,14.43,80073,PHEV,67458,no
Canada,2018,Nissan,"$28,026 ",3056,23.53,72421,PHEV,25031,YES
Netherlands,2015,BYD,,1824,,,BEV,38701,Yes
Canada,2022,Nissan,"$47,563 ",1373,23.44,71430,BEV,1203,No
UK,2016,Ford,"$17,044 ",4497,1.9,84673,BEV,21884,
India,2019,Kia,"$25,683 ",1550,19.27,60140,HEV,3103,No
Canada,2019,Kia,$865 ,3585,10.43,91877,HEV,79278,yes
UK,2019,Nissan,"$12,891 ",,20.34,111428,PHEV,68914,Yes
Netherlands,2024,Tesla,"$21,872 ",3849,29.05,119154,PHEV,76403,
India,2015,BYD,"$41,758 ",966,22.7,57666,BEV,51626,No
France,2023,Ford,"$37,728 ",4456,2.17,123476,PHEV,64344,No
Germany,2016,Renault,"$36,118 ",2516,11.45,107248,BEV,26525,Yes
USA,2018,Kia,"$14,782 ",4613,19.98,48715,HEV,,No
Germany,2022,Volkswagen,,3496,23.17,,PHEV,53656,YES
China,2016,BMW,"$17,875 ",3849,18.97,63261,HEV,47287,no
Canada,2019,Nissan,"$21,688 ",3206,18.02,99000,HEV,76324,no
India,2016,Nissan,"$6,160 ",4488,22.26,43449,BEV,34340,No
Japan,2022,BYD,"$40,350 ",,17.79,125528,BEV,12094,Yes
UK,2022,Tesla,"$22,923 ",,11.99,96297,PHEV,69798,Yes
Norway,2015,Ford,"$5,496 ",3644,13.85,36753,PHEV,15211,yes
UK,2015,BYD,"$30,953 ",2227,21.74,111721,HEV,26613,no
Canada,2019,Volkswagen,"$14,526 ",4393,14.19,67639,PHEV,20610,yes
Canada,2019,Hyundai,"$47,146 ",1108,5.85,84328,HEV,1570,YES
Norway,2019,Volkswagen,"$32,754 ",2914,19.81,118179,PHEV,1917,YES
China,2019,Ford,"$10,566 ",,22.69,84084,HEV,40104,no
Germany,2024,Tesla,"$18,562 ",,6.92,81407,BEV,10941,Yes
India,2019,Tesla,"$23,970 ",4198,28.51,69405,HEV,,Yes
Canada,2016,Nissan,"$5,029 ",1145,1.72,78791,BEV,35087,yes
Norway,2020,Kia,"$1,641 ",4637,28.87,70867,HEV,,yes
USA,2016,Ford,"$40,591 ",3265,28.65,60995,BEV,26380,yes
Netherlands,2015,Volkswagen,"$26,020 ",2799,19.63,51009,PHEV,25519,YES
Canada,2021,Chevrolet,"$22,939 ",3892,2.51,47498,HEV,6021,YES
Netherlands,2019,Nissan,"$32,964 ",4745,18.87,73314,PHEV,47223,Yes
UK,2020,BYD,"$26,017 ",,20.11,111503,PHEV,67798,no
Germany,2023,Nissan,"$40,650 ",3337,24.28,106068,PHEV,43788,Yes
Germany,2024,Renault,"$17,348 ",3304,29.23,74931,HEV,34998,no
Japan,2016,Volkswagen,"$27,730 ",,23.5,59815,BEV,56571,YES
Norway,2017,Kia,"$15,215 ",3866,25.72,48308,HEV,35314,YES
USA,2016,Hyundai,"$48,725 ",1104,7.11,75063,PHEV,70681,No
Netherlands,2023,BYD,"$32,601 ",2785,3.93,79220,BEV,46838,no
India,2016,Nissan,"$20,039 ",,29.22,86188,PHEV,27616,no
Germany,2017,Tesla,"$14,619 ",593,13.75,91450,HEV,62799,yes
China,2019,BMW,"$25,185 ",201,9.68,82048,PHEV,43043,Yes
Germany,2016,Nissan,"$17,533 ",4144,,33941,HEV,58980,YES
Japan,2015,Hyundai,"$17,920 ",4141,7.1,30269,BEV,61931,no
China,2022,Kia,"$44,754 ",4271,26.08,123448,PHEV,16735,yes
France,2016,Hyundai,"$16,330 ",3723,25.05,62396,BEV,4373,yes
China,2023,Hyundai,"$10,835 ",2510,14.88,45892,BEV,,Yes
France,2018,BMW,"$1,947 ",3209,5.18,26853,PHEV,47525,Yes
France,2015,Kia,"$38,730 ",3226,13.81,91664,BEV,,YES
Norway,2022,Chevrolet,"$26,066 ",4930,21.74,68251,HEV,71744,no
Norway,2023,Renault,"$33,955 ",539,20.35,80946,PHEV,74616,no
China,2017,Renault,"$22,402 ",2163,10.1,82272,PHEV,44856,no
USA,2019,BMW,"$36,371 ",2450,28.27,102100,HEV,29378,yes
UK,2021,BMW,"$40,392 ",854,22.51,107374,BEV,37683,no
Canada,2018,BYD,"$49,055 ",3119,25.31,112845,HEV,32480,
Norway,2020,Chevrolet,"$33,494 ",4153,12.8,105588,BEV,60174,YES
India,2017,Hyundai,"$45,239 ",196,23.11,81542,PHEV,,YES
Japan,2015,Volkswagen,"$35,200 ",2934,28.59,102988,PHEV,72045,Yes
UK,2017,BMW,"$38,342 ",1891,26.22,60131,BEV,47151,
Germany,2016,Ford,"$49,420 ",2902,20.19,130777,PHEV,4262,Yes
China,2019,Ford,"$1,945 ",229,5.79,57667,PHEV,51818,yes
France,2021,Tesla,"$30,432 ",2795,27.19,95341,PHEV,73391,YES
France,2022,Hyundai,"$19,178 ",81,11.76,45983,PHEV,12874,Yes
Japan,2024,Nissan,"$28,029 ",4492,26.93,101808,BEV,10018,No
UK,2019,Hyundai,,358,24.08,,BEV,58021,No
Canada,2022,Hyundai,"$49,959 ",3426,1.73,143405,HEV,30437,Yes
China,2021,Volkswagen,"$38,088 ",2819,16.14,59950,BEV,12669,Yes
Canada,2022,Volkswagen,"$16,416 ",2696,,20401,HEV,74648,yes
Norway,2024,Volkswagen,"$41,735 ",2557,22.76,85668,BEV,46536,YES
Norway,2017,Volkswagen,"$4,468 ",920,6.79,21747,HEV,69665,Yes
China,2023,Renault,"$38,715 ",4214,28.4,113770,PHEV,78273,No
France,2019,BMW,"$1,634 ",2756,18.11,94266,PHEV,72128,YES
Netherlands,2017,BYD,"$18,608 ",3353,18.84,96141,HEV,57830,no
Netherlands,2024,BMW,"$9,604 ",3367,29.99,50123,HEV,50649,No
Germany,2017,Volkswagen,"$35,024 ",1127,14.79,131426,PHEV,31676,no
India,2023,BYD,"$48,264 ",1657,10.87,142359,BEV,73307,YES
Netherlands,2018,Volkswagen,"$17,026 ",2771,23.43,96414,HEV,48574,yes
UK,2020,Volkswagen,"$43,891 ",4522,25.74,80355,BEV,35485,YES
France,2021,Hyundai,"$19,956 ",1077,1.72,34365,BEV,70327,YES
Norway,2019,Chevrolet,"$26,364 ",,10.74,90991,BEV,20692,
USA,2024,Tesla,"$24,001 ",2961,9.15,40550,HEV,30963,YES
USA,2024,Volkswagen,"$26,420 ",3313,6.8,85646,HEV,29810,Yes
Norway,2016,Chevrolet,"$48,466 ",1514,7.87,124942,PHEV,,yes
Netherlands,2020,Chevrolet,"$4,424 ",433,27.95,50821,BEV,14233,
India,2016,Volkswagen,,4719,1.56,,PHEV,66727,Yes
China,2020,Renault,"$25,574 ",,16.22,52406,HEV,14682,No
Netherlands,2015,Volkswagen,"$27,262 ",826,,121594,BEV,24666,No
India,2015,Kia,"$26,162 ",4209,28.06,37396,HEV,58616,yes
India,2019,Renault,"$9,721 ",3228,6.58,11772,PHEV,76301,No
UK,2017,Chevrolet,"$11,882 ",4398,26.66,110741,HEV,45757,No
Canada,2019,BYD,"$12,439 ",2115,14.21,70328,HEV,,No
Norway,2020,Ford,"$3,859 ",3186,11.06,32182,PHEV,72762,Yes
Norway,2016,Volkswagen,"$22,189 ",1388,5.13,119116,PHEV,,no
UK,2022,Nissan,"$14,830 ",4901,8.57,28327,PHEV,33551,
Canada,2016,Kia,"$11,348 ",2504,29.56,16915,PHEV,,yes
Canada,2018,Ford,"$49,347 ",4015,2.79,111923,BEV,44919,No
Germany,2022,Tesla,"$17,067 ",3368,5.36,94591,HEV,6698,No
Germany,2023,Hyundai,"$1,773 ",2977,14.66,79550,BEV,51248,no
France,2016,Kia,"$9,997 ",925,22.86,55038,BEV,32954,no
Norway,2022,Ford,"$8,502 ",4257,24.7,29240,BEV,11703,Yes
China,2018,Volkswagen,"$48,740 ",280,14.41,62132,PHEV,45724,no
Japan,2015,BMW,"$32,799 ",2408,11.35,111762,PHEV,21566,yes
UK,2015,Volkswagen,"$2,730 ",138,13.76,29907,PHEV,,no
UK,2019,BYD,"$5,265 ",3980,10.92,35788,HEV,72088,YES
Germany,2021,Chevrolet,"$1,127 ",,,79652,PHEV,14780,yes
Japan,2021,Tesla,"$7,089 ",2054,16.41,59582,PHEV,41953,yes
India,2015,Chevrolet,$749 ,2935,,55944,PHEV,26901,YES
Canada,2021,Nissan,"$24,076 ",,5.77,50540,BEV,61281,yes
Netherlands,2018,Chevrolet,"$16,760 ",,11.3,112842,HEV,57683,Yes
China,2020,BMW,"$41,930 ",1997,17.86,121414,PHEV,14026,Yes
China,2018,Ford,"$3,273 ",4977,20.05,47219,PHEV,57561,Yes
UK,2019,Volkswagen,"$10,877 ",,10.48,45653,PHEV,4783,Yes
UK,2017,BMW,"$4,798 ",4678,23.62,60959,PHEV,61652,yes
Netherlands,2022,Ford,"$34,984 ",320,11.48,56906,PHEV,35028,
Japan,2017,Renault,"$46,425 ",3942,7.56,77691,HEV,25000,YES
Canada,2020,BYD,"$14,511 ",2876,20.1,33906,BEV,40019,no
Germany,2024,Hyundai,"$38,207 ",4016,,73600,HEV,11956,no
Canada,2017,Kia,"$31,163 ",741,29.52,73737,HEV,32417,yes
UK,2023,Kia,"$22,984 ",1729,11.08,63438,PHEV,2587,Yes
Norway,2023,Chevrolet,"$43,071 ",906,14.28,130638,HEV,76886,no
UK,2019,Tesla,"$19,316 ",3914,5,68933,HEV,73373,
UK,2021,Nissan,,1459,24.88,,HEV,75960,
USA,2020,Ford,"$37,385 ",687,26.98,101056,BEV,48111,
UK,2023,Chevrolet,"$40,113 ",3768,2.5,101106,BEV,9848,No
USA,2018,Ford,"$49,817 ",4954,11.39,137261,PHEV,62602,no
Netherlands,2020,Volkswagen,"$7,009 ",1272,,57232,BEV,,YES
China,2021,BMW,"$44,976 ",4760,24.89,95396,HEV,76504,no
India,2021,Tesla,"$2,962 ",1278,6.92,13237,PHEV,14269,Yes
Netherlands,2016,Volkswagen,$906 ,3086,10.04,71927,PHEV,69154,Yes
Japan,2022,Nissan,"$30,643 ",4859,29.16,37011,PHEV,5621,yes
Germany,2023,BMW,"$15,219 ",4661,4.37,28525,BEV,54822,No
Japan,2019,Volkswagen,"$24,542 ",1013,21.11,77160,HEV,19323,No
India,2017,Ford,"$18,519 ",1708,12.69,29802,BEV,19279,YES
Germany,2024,Chevrolet,"$47,499 ",4250,27.08,98724,PHEV,38952,no
USA,2016,Hyundai,"$35,670 ",4905,22.75,98051,BEV,48929,No
USA,2023,Nissan,"$9,843 ",2455,9.06,39977,HEV,48101,Yes
Canada,2016,Tesla,"$4,407 ",817,5.55,10234,PHEV,63653,No
Germany,2015,Ford,"$14,199 ",,13.16,106618,PHEV,6313,
USA,2018,Nissan,"$14,098 ",4876,7.71,85521,BEV,70390,yes
Japan,2016,Renault,"$45,726 ",,8.61,50284,BEV,76308,Yes
China,2022,Nissan,"$36,843 ",885,27.58,71612,HEV,,YES
Norway,2023,Renault,"$40,387 ",4076,3.65,69264,HEV,59001,YES
China,2017,Renault,"$32,101 ",2790,12.55,70135,BEV,41317,
Japan,2020,Chevrolet,"$19,594 ",462,1.23,22251,BEV,40531,YES
Netherlands,2018,Ford,"$3,664 ",2976,15.51,24265,HEV,51599,YES
Canada,2022,Ford,"$6,509 ",617,8.96,16926,PHEV,59579,yes
Norway,2020,Renault,"$42,489 ",2681,26.65,121759,PHEV,4722,no
Japan,2019,Tesla,"$5,406 ",1485,7.78,48344,HEV,50028,
Canada,2023,Nissan,"$32,747 ",2511,13.78,116883,BEV,21435,no
USA,2021,Renault,"$19,081 ",2816,8.71,47467,BEV,32721,yes
India,2016,Renault,"$14,204 ",,18.5,105914,BEV,63993,No
Canada,2016,Renault,"$47,716 ",850,6.25,98974,BEV,17508,Yes
Norway,2020,Renault,"$20,130 ",2941,16.85,98983,HEV,64768,yes
USA,2017,BYD,"$36,239 ",2027,5.96,131941,HEV,,YES
USA,2023,Hyundai,"$19,980 ",1619,27.04,112108,HEV,29141,YES
Canada,2016,Ford,"$30,509 ",4711,3.91,123581,PHEV,26933,yes
Germany,2020,BYD,"$12,118 ",125,10.73,88992,BEV,39346,no
India,2015,Ford,,1630,25.21,,PHEV,28526,yes
France,2024,Hyundai,"$31,722 ",3802,7.71,38417,HEV,40169,Yes
USA,2017,Chevrolet,"$48,447 ",4915,27.88,109857,PHEV,25816,yes
France,2018,Hyundai,"$8,878 ",1891,28.46,89089,BEV,71122,no
France,2021,Tesla,"$25,506 ",248,2.17,42965,PHEV,33443,No
Canada,2016,Volkswagen,"$42,816 ",4932,16.53,48502,BEV,33766,No
Canada,2020,Renault,"$14,907 ",1912,,28112,PHEV,24527,Yes
China,2021,BMW,"$46,447 ",,13.36,75649,BEV,66552,yes
USA,2017,Nissan,"$46,642 ",4358,10.21,131389,BEV,61372,Yes
India,2020,Ford,"$25,595 ",99,3.77,94974,PHEV,16972,No
Germany,2015,Renault,"$28,810 ",979,20.22,82157,BEV,70518,Yes
USA,2017,Kia,"$45,783 ",4023,17.03,59531,BEV,22097,yes
China,2016,Renault,"$3,592 ",4169,9.6,28454,PHEV,71469,Yes
India,2017,Hyundai,"$5,426 ",1197,12.82,76281,HEV,42743,YES
Germany,2017,Nissan,"$40,376 ",,24.99,57804,HEV,35578,No
India,2020,Renault,"$21,450 ",2091,6.61,106279,HEV,7364,yes
Netherlands,2015,Kia,,2591,10.78,,HEV,67467,
Norway,2015,Ford,"$46,396 ",3416,24.96,130627,PHEV,42347,no
India,2023,Renault,"$3,621 ",1883,2.31,63843,BEV,24165,No
Japan,2023,Renault,"$49,214 ",3758,3.38,110594,HEV,45331,no
Germany,2016,Nissan,"$30,997 ",4723,15.63,36672,PHEV,67706,no
China,2023,Volkswagen,"$41,949 ",2535,11.2,120935,PHEV,77216,Yes
Canada,2024,Volkswagen,"$10,568 ",2472,9.39,11855,HEV,23337,YES
Germany,2024,Nissan,"$21,166 ",1917,13.95,112237,HEV,39751,no
UK,2022,Renault,"$17,027 ",25,,107416,PHEV,15758,yes
Netherlands,2016,Tesla,$744 ,936,20.98,3920,PHEV,34654,No
UK,2021,Ford,"$27,127 ",3408,1.47,118544,BEV,59251,no
Germany,2018,Renault,"$35,922 ",3802,,126234,BEV,62386,Yes
France,2022,BMW,"$18,255 ",330,19.91,40939,BEV,56913,yes
USA,2021,BMW,"$23,738 ",1141,2.77,110700,BEV,42777,no
China,2016,Ford,"$46,750 ",21,5.4,132512,HEV,16216,no
India,2019,BMW,"$19,113 ",3019,23.21,34322,HEV,49443,
France,2024,Renault,"$15,529 ",2087,11.96,79088,BEV,65892,YES
Netherlands,2023,Kia,"$5,373 ",453,28.35,40156,BEV,35152,Yes
Netherlands,2024,Kia,"$42,013 ",,8.28,60666,PHEV,41469,YES
UK,2015,Nissan,"$21,447 ",2420,4.29,116990,HEV,44169,Yes
India,2020,Hyundai,"$48,787 ",3682,27.94,55330,PHEV,,yes
Canada,2023,Hyundai,"$21,567 ",1891,1.4,91912,HEV,23191,yes
France,2020,BMW,"$21,767 ",,15,109360,BEV,29992,no
Japan,2020,Hyundai,"$47,014 ",3489,15.29,131343,PHEV,27270,YES
Canada,2019,Chevrolet,"$5,697 ",536,,21556,HEV,28236,no
Norway,2023,Hyundai,"$32,399 ",2182,1.72,126475,PHEV,20053,yes
Norway,2018,Renault,"$11,585 ",1761,10.89,17832,BEV,,No
France,2017,Tesla,"$11,053 ",,12.79,18188,PHEV,6573,YES
Germany,2023,Ford,"$14,231 ",2696,21.24,68918,PHEV,69312,yes
Norway,2020,Nissan,"$42,579 ",,20.61,72414,PHEV,62587,No
China,2023,Renault,"$8,197 ",204,8.36,82777,HEV,54370,YES
India,2024,Tesla,"$10,115 ",2718,19.38,82232,PHEV,62158,YES
Norway,2022,Volkswagen,"$35,282 ",,2.23,94537,BEV,73684,Yes
Germany,2021,Nissan,"$19,248 ",3639,4.9,45504,HEV,31005,YES
Canada,2024,Hyundai,"$7,138 ",,15.47,51254,BEV,37634,Yes
Germany,2018,Nissan,"$17,255 ",625,9.36,86044,HEV,,Yes
UK,2024,Kia,"$38,210 ",4148,1,79432,PHEV,14666,No
Japan,2016,Volkswagen,"$21,455 ",4188,5.3,92045,PHEV,67471,Yes
Netherlands,2015,Chevrolet,"$45,440 ",,,134754,BEV,44298,
Netherlands,2024,Hyundai,"$48,828 ",335,24.56,90370,BEV,21245,yes
Germany,2024,Hyundai,"$35,253 ",4942,12.27,52213,HEV,31791,no
Canada,2016,BMW,"$42,730 ",650,10.13,105777,PHEV,74290,
Netherlands,2020,Renault,"$47,514 ",4088,29.33,52556,HEV,50052,yes
Japan,2018,Kia,"$14,889 ",2585,29.87,66622,BEV,35754,YES
Norway,2023,Ford,"$19,124 ",3976,10.48,101130,HEV,25704,No
UK,2021,Kia,"$39,236 ",,15.18,47729,PHEV,70639,yes
India,2015,Chevrolet,"$35,344 ",,21.14,105624,BEV,48234,No
Canada,2015,Tesla,"$47,791 ",2766,17.78,56162,PHEV,48315,no
Germany,2023,Hyundai,"$18,528 ",4381,,99054,HEV,17626,yes
France,2024,Ford,,4095,29.85,,BEV,8130,No
Norway,2017,Kia,"$7,328 ",180,,60992,BEV,18883,yes
Netherlands,2019,Nissan,"$43,559 ",2168,18.9,105828,HEV,76986,yes
Japan,2019,Ford,"$20,923 ",2045,16.98,39164,BEV,53975,No
Germany,2022,BYD,"$23,654 ",1059,9.64,81050,BEV,14331,no
Netherlands,2019,BYD,"$21,190 ",2809,4.06,92601,BEV,55478,No
Japan,2022,BYD,"$12,754 ",4055,2.39,59875,BEV,61197,No
Germany,2022,Ford,"$19,541 ",4532,8.88,25378,BEV,72232,Yes
Norway,2019,Volkswagen,"$49,494 ",4433,,51960,PHEV,31771,YES
France,2020,Renault,"$18,850 ",,11.58,40596,BEV,61739,No
China,2016,Kia,"$43,404 ",1903,17.14,85278,HEV,78362,No
USA,2021,Tesla,"$34,920 ",4151,22.24,57119,HEV,75328,Yes
Japan,2024,Kia,"$21,097 ",3647,10.61,38086,PHEV,29931,yes
Japan,2022,Volkswagen,"$9,790 ",375,9.91,40923,PHEV,28052,no
Norway,2015,Kia,"$42,250 ",3579,17.95,139872,PHEV,58656,no
France,2021,Kia,"$5,133 ",930,2.8,52679,PHEV,8008,no
France,2018,Nissan,"$48,791 ",2839,5.7,140700,HEV,21827,YES
Norway,2019,Nissan,"$33,540 ",3020,14.1,132233,PHEV,36315,YES
Norway,2023,Volkswagen,"$36,432 ",4790,4.34,51759,HEV,1946,no
Netherlands,2017,Kia,"$15,193 ",2675,18.81,31733,HEV,73255,No
Netherlands,2024,Chevrolet,"$41,703 ",,,67784,HEV,62861,
Norway,2016,Hyundai,"$11,850 ",3600,19.81,41219,PHEV,32728,yes
Japan,2020,Volkswagen,"$18,076 ",4435,14.85,19466,PHEV,46436,Yes
Germany,2023,Chevrolet,"$12,069 ",4847,26.18,18936,HEV,10121,No
USA,2017,Kia,"$2,039 ",922,,20066,PHEV,75229,no
USA,2022,Ford,"$9,421 ",1293,17.02,74386,PHEV,70922,yes
China,2018,Hyundai,"$32,763 ",3846,,116602,PHEV,13242,Yes
Germany,2020,BMW,"$47,525 ",765,3.3,110341,BEV,,No
India,2019,Renault,"$49,285 ",517,26.48,61903,PHEV,75286,yes
Netherlands,2015,Ford,"$16,622 ",3112,18.27,96998,BEV,53774,yes
Canada,2021,Kia,"$37,667 ",4067,14.63,120051,HEV,37483,yes
China,2020,Chevrolet,,1311,14.83,,BEV,72947,Yes
China,2016,Tesla,,702,6.66,,HEV,74984,no
China,2024,BYD Inc,"$43,890 ",451,29.64,50099,BEV,7533,
France,2018,Tesla,"$21,561 ",1745,24.25,47155,HEV,75852,no
India,2024,Tesla,"$12,677 ",,17.84,54373,PHEV,66449,YES
China,2016,Nissan,"$2,580 ",1557,28.57,11926,BEV,34672,yes
India,2018,Kia,"$18,153 ",414,1.37,45293,PHEV,2184,yes
USA,2016,Renault,"$34,993 ",,11.19,58188,PHEV,6606,no
China,2020,Ford,"$4,456 ",181,2.58,24146,PHEV,59502,yes
Japan,2020,Renault,"$49,349 ",1781,22.81,141670,PHEV,50056,Yes
Japan,2020,Kia,"$33,198 ",4685,6.78,62041,PHEV,63320,Yes
UK,2017,Kia,,1483,24.95,,PHEV,53248,No
Japan,2017,BMW,"$28,332 ",3166,13.01,117234,PHEV,29557,yes
Japan,2021,Kia,"$6,298 ",1445,13.04,85300,BEV,43614,no
Canada,2022,Nissan,"$13,220 ",274,1.61,86315,PHEV,36892,YES
Germany,2023,BMW,"$41,939 ",3524,7.58,120545,PHEV,1924,Yes
France,2018,Hyundai,"$26,978 ",4883,6.87,108824,HEV,74762,yes
Norway,2018,Volkswagen,"$12,281 ",2680,25.79,110909,PHEV,77946,No
